month;year
01.01.1991;164
01.02.1991;148
01.03.1991;152
01.04.1991;144
01.05.1991;155
01.06.1991;125
01.07.1991;153
01.08.1991;146
01.09.1991;138
01.10.1991;190
01.11.1991;192
01.12.1991;192
01.01.1992;147
01.02.1992;133
01.03.1992;163
01.04.1992;150
01.05.1992;129
01.06.1992;131
01.07.1992;145
01.08.1992;137
01.09.1992;138
01.10.1992;168
01.11.1992;176
01.12.1992;188
01.01.1993;139
01.02.1993;143
01.03.1993;150
01.04.1993;154
01.05.1993;137
01.06.1993;129
01.07.1993;128
01.08.1993;140
01.09.1993;143
01.10.1993;151
01.11.1993;177
01.12.1993;184
01.01.1994;151
01.02.1994;134
01.03.1994;164
01.04.1994;126
01.05.1994;131
01.06.1994;125
01.07.1994;127
01.08.1994;143
01.09.1994;143
01.10.1994;160
01.11.1994;190
01.12.1994;182
01.01.1995;138
01.02.1995;136
01.03.1995;152
01.04.1995;127
01.05.1995;151
01.06.1995;130
01.07.1995;119
01.08.1995;153
