Alter;Geschlecht;Größe;Gewicht;Alkohol;Fastfood;Gemüse;Hauptmahlzeiten;Kalorienzählen;Rauchen;Wasser;Familie;Aktivität;Bildschirmzeit;Zwischenmahlzeit;Transportmittel;Gewichtsklasse
21;w;1,62;64;nie;nein;2;3;nein;nein;2;ja;0;1;manchmal;ÖPV;Normalgewicht
21;w;1,52;56;manchmal;nein;3;3;ja;ja;3;ja;3;0;manchmal;ÖPV;Normalgewicht
23;m;1,8;77;häufig;nein;2;3;nein;nein;2;ja;2;1;manchmal;ÖPV;Normalgewicht
27;m;1,8;87;häufig;nein;3;3;nein;nein;2;nein;2;0;manchmal;Fuss;Übergewicht_I
22;m;1,78;89,8;manchmal;nein;2;1;nein;nein;2;nein;0;0;manchmal;ÖPV;Übergewicht_II
29;m;1,62;53;manchmal;ja;2;3;nein;nein;2;nein;0;0;manchmal;PKW;Normalgewicht
23;w;1,5;55;manchmal;ja;3;3;nein;nein;2;ja;1;0;manchmal;Motorrad;Normalgewicht
22;m;1,64;53;manchmal;nein;2;3;nein;nein;2;nein;3;0;manchmal;ÖPV;Normalgewicht
24;m;1,78;64;häufig;ja;3;3;nein;nein;2;ja;1;1;manchmal;ÖPV;Normalgewicht
22;m;1,72;68;nie;ja;2;3;nein;nein;2;ja;1;1;manchmal;ÖPV;Normalgewicht
26;m;1,85;105;manchmal;ja;3;3;nein;nein;3;ja;2;2;häufig;ÖPV;Adipositas_I
21;w;1,72;80;manchmal;ja;2;3;ja;nein;2;ja;2;1;häufig;ÖPV;Übergewicht_II
22;m;1,65;56;manchmal;nein;3;3;nein;nein;3;nein;2;0;manchmal;ÖPV;Normalgewicht
41;m;1,8;99;häufig;ja;2;3;nein;nein;2;nein;2;1;manchmal;PKW;Adipositas_I
23;m;1,77;60;manchmal;ja;3;1;nein;nein;1;ja;1;1;manchmal;ÖPV;Normalgewicht
22;w;1,7;66;manchmal;nein;3;3;ja;nein;2;ja;2;1;täglich;ÖPV;Normalgewicht
27;m;1,93;102;manchmal;ja;2;1;nein;nein;1;ja;1;0;manchmal;ÖPV;Übergewicht_II
29;w;1,53;78;nie;ja;2;1;nein;nein;2;nein;0;0;manchmal;PKW;Adipositas_I
30;w;1,71;82;nie;ja;3;4;nein;ja;1;ja;0;0;häufig;PKW;Übergewicht_II
23;w;1,65;70;manchmal;nein;2;1;nein;nein;2;ja;0;0;manchmal;ÖPV;Übergewicht_I
22;m;1,65;80;nie;nein;2;3;nein;nein;2;ja;3;2;manchmal;Fuss;Übergewicht_II
52;w;1,69;87;nie;ja;3;1;nein;ja;2;ja;0;0;manchmal;PKW;Adipositas_I
22;w;1,65;60;manchmal;ja;3;3;nein;nein;2;ja;1;0;manchmal;PKW;Normalgewicht
22;w;1,6;82;manchmal;ja;1;1;nein;nein;2;ja;0;2;manchmal;ÖPV;Adipositas_I
21;m;1,85;68;manchmal;ja;2;3;nein;nein;2;ja;0;1;manchmal;ÖPV;Normalgewicht
20;m;1,6;50;nie;nein;2;4;nein;ja;2;ja;3;2;häufig;ÖPV;Normalgewicht
21;m;1,7;65;täglich;ja;2;1;nein;nein;2;ja;1;2;häufig;Fuss;Normalgewicht
23;w;1,6;52;manchmal;ja;2;4;nein;nein;2;nein;2;1;häufig;PKW;Normalgewicht
19;m;1,75;76;manchmal;ja;3;3;ja;nein;2;ja;3;1;manchmal;ÖPV;Normalgewicht
23;m;1,68;70;häufig;ja;2;3;nein;nein;2;nein;2;2;manchmal;Fuss;Normalgewicht
29;m;1,77;83;nie;ja;1;4;nein;nein;3;nein;0;1;häufig;Motorrad;Übergewicht_I
31;w;1,58;68;manchmal;nein;2;1;nein;nein;1;ja;1;0;manchmal;ÖPV;Übergewicht_II
24;w;1,77;76;manchmal;nein;2;3;nein;nein;3;nein;1;1;manchmal;Fuss;Normalgewicht
39;m;1,79;90;manchmal;nein;2;1;nein;nein;2;nein;0;0;manchmal;ÖPV;Übergewicht_II
